"year","EventId","date_tournament","EventName","EventType","EventCountry","Surface","TotPrizeMoney"
2022,328,"2022-10-24",Basel,"500",Switzerland,Hard,2135350
2022,429,"2022-10-17",Stockholm,"250",Sweden,Hard,648130
2022,439,"2022-07-25",Umag,"250",Croatia,Clay,534555
2022,414,"2022-07-18",Hamburg,"500",Germany,Clay,1770865
2022,8994,"2022-06-20",Mallorca,"250",Spain,Grass,886500
2022,500,"2022-06-13",Halle,"500",Germany,Grass,2134520
2022,7694,"2022-05-16",Lyon,"250",France,Clay,534555
2022,308,"2022-04-25",Munich,"250",Germany,Clay,534555
2022,360,"2022-04-04",Marrakech,"250",Morocco,Clay,534555
2022,495,"2022-02-21",Dubai,"500",U.A.E.,Hard,2794840
2022,451,"2022-02-14",Doha,"250",Qatar,Hard,1071030
2022,375,"2022-01-31",Montpellier,"250",France,Hard,427645
2022,9665,"2022-01-03",Melbourne,"250",Australia,Hard,521000
2022,337,"2022-10-24",Vienna,"500",Austria,Hard,2349180
2022,2809,"2022-10-17",Naples,"250",Italy,Hard,612000
2022,2805,"2022-10-10",Florence,"250",Italy,Hard,612000
2022,314,"2022-07-18",Gstaad,"250",Switzerland,Clay,534555
2022,496,"2022-02-14",Marseille,"250",France,Hard,545200
2022,407,"2022-02-07",Rotterdam,"500",Netherlands,Hard,1208315
2022,9667,"2022-01-10",Adelaide 2,"250",Australia,Hard,430530
2022,8998,"2022-01-03",Adelaide 1,"250",Australia,Hard,416800
2022,7485,"2022-10-17",Antwerp,"250",Belgium,Hard,648130
2022,9410,"2022-10-03",Astana,"500",Kazakhstan,Hard,1900000
2022,341,"2022-09-19",Metz,"250",France,Hard,534555
2022,6242,"2022-08-22",Winston-Salem,"250","NC, U.S.A.",Hard,731935
2022,418,"2022-08-01",Washington,"500","DC, U.S.A.",Hard,1953285
2022,5053,"2022-04-18",Belgrade,"250",Serbia,Clay,534555
2022,9663,"2022-01-10",Sydney,"250",Australia,Hard,521000
2022,311,"2022-06-13",London / Queen's Club,"500",Great Britain,Grass,2134520
2022,2807,"2022-10-10",Gijon,"250",Spain,Hard,612000
2022,7434,"2022-09-26",Sofia,"250",Bulgaria,Hard,534555
2022,316,"2022-07-11",Bastad,"250",Sweden,Clay,534555
2022,322,"2022-05-16",Geneva,"250",Switzerland,Clay,534555
2022,6932,"2022-02-14",Rio de Janeiro,"500",Brazil,Clay,1660290
2022,506,"2022-02-07",Buenos Aires,"250",Argentina,Clay,602250
2022,9569,"2022-09-19",San Diego,"250","CA, U.S.A.",Hard,612000
2022,329,"2022-10-03",Tokyo,"500",Japan,Hard,1953285
2022,4140,"2022-09-26",Seoul,"250",South Korea,Hard,1117930
2022,425,"2022-04-18",Barcelona,"500",Spain,Clay,2661825
2022,8996,"2022-02-21",Santiago,"250",Chile,Clay,475960
2022,9158,"2022-01-31",Cordoba,"250",Argentina,Clay,430530
2022,4138,"2022-09-26",Tel Aviv,"250",Israel,Hard,949475
2022,319,"2022-07-25",Kitzbuhel,"250",Austria,Clay,534555
2022,321,"2022-06-06",Stuttgart,"250",Germany,Grass,692235
2022,891,"2022-01-31",Pune,"250",India,Hard,430530
2022,315,"2022-07-11",Newport,"250","RI, U.S.A.",Grass,594950
2022,7290,"2022-04-25",Estoril,"250",Portugal,Clay,534555
2022,6116,"2022-07-25",Atlanta,"250","GA, U.S.A.",Hard,708530
2022,717,"2022-04-04",Houston,"250","TX, U.S.A.",Clay,594950
2022,807,"2022-02-21",Acapulco,"500",Mexico,Hard,1678065
2022,499,"2022-02-14",Delray Beach,"250","FL, U.S.A.",Hard,593895
2022,424,"2022-02-07",Dallas,"250","TX, U.S.A.",Hard,708530
2022,741,"2022-06-20",Eastbourne,"250",Great Britain,Grass,697405
2022,440,"2022-06-06",'s-Hertogenbosch,"250",Netherlands,Grass,648130
2022,7480,"2022-08-01",Los Cabos,"250",Mexico,Hard,822110
