Date,PlayerId,Rank
2025-01-06,s0ag,1
2025-01-06,z355,2
2025-01-06,a0e2,3
2025-01-06,fb98,4
2025-01-06,mm58,5
2025-01-06,rh16,6
2025-01-06,d643,7
2025-01-06,dh58,8
2025-01-06,re44,9
2025-01-06,d875,10
2025-01-06,te51,11
2025-01-06,pl56,12
2025-01-06,r0dg,13
2025-01-06,hh26,14
2025-01-06,d0co,15
2025-01-06,m0ej,16
2025-01-06,td51,17
2025-01-06,hb71,18
2025-01-06,ke29,19
2025-01-06,f0f1,20
2025-01-06,s0s1,21
2025-01-06,k0ah,22
2025-01-06,te30,23
2025-01-06,l0bv,24
2025-01-06,p09z,25
2025-01-06,m0fh,26
2025-01-06,tc61,27
2025-01-06,b0bi,28
2025-01-06,ag37,29
2025-01-06,m0gz,30
2025-01-06,c0au,31
2025-01-06,c0e9,32
2025-01-06,bk92,33
2025-01-06,j551,34
2025-01-06,bk40,35
2025-01-06,bt72,36
2025-01-06,n0ae,37
2025-01-06,a0fc,38
2025-01-06,ea24,39
2025-01-06,gj37,40
2025-01-06,m0qi,41
2025-01-06,sl28,42
2025-01-06,mo44,43
2025-01-06,d0fj,44
2025-01-06,gc88,45
2025-01-06,n0bs,46
2025-01-06,z371,47
2025-01-06,n771,48
2025-01-06,m0ni,49
2025-01-06,s0re,50
2025-01-06,bd06,51
2025-01-06,mc65,52
2025-01-06,gb88,53
2025-01-06,su87,54
2025-01-06,ki95,55
2025-01-06,mp20,56
2025-01-06,m0ci,57
2025-01-06,su55,58
2025-01-06,cf59,59
2025-01-06,rc91,60
2025-01-06,mu94,61
2025-01-06,sx50,62
2025-01-06,n732,63
2025-01-06,o483,64
2025-01-06,y09v,65
2025-01-06,bu13,66
2025-01-06,v832,67
2025-01-06,dh50,68
2025-01-06,mw02,69
2025-01-06,bm95,70
2025-01-06,hb64,71
2025-01-06,s0h2,72
2025-01-06,me82,73
2025-01-06,n552,74
2025-01-06,l987,75
2025-01-06,sx91,76
2025-01-06,kd46,77
2025-01-06,d0cg,78
2025-01-06,h0bh,79
2025-01-06,c0h0,80
2025-01-06,g09o,81
2025-01-06,v812,82
2025-01-06,d923,83
2025-01-06,da81,84
2025-01-06,c0df,85
2025-01-06,f0by,86
2025-01-06,d0f6,87
2025-01-06,cg80,88
2025-01-06,f510,89
2025-01-06,n0bg,90
2025-01-06,w09e,91
2025-01-06,v0am,92
2025-01-06,ae14,93
2025-01-06,d994,94
2025-01-06,u182,95
2025-01-06,n897,96
2025-01-06,ce77,97
2025-01-06,h997,98
2025-01-06,k09f,99
2025-01-06,f724,100
2025-01-06,b0gg,101
2025-01-06,ph71,102
2025-01-06,e865,103
2025-01-06,pf39,104
2025-01-06,p0ct,105
2025-01-06,mj08,106
2025-01-06,mw18,107
2025-01-06,k0az,108
